mysql: [Warning] Using a password on the command line interface can be insecure.
id,cliente_id,servicio_id,barbero_id,fecha_hora,precio,estado,metodo_pago,cliente,servicio,barbero
17,575,11,5,2023-02-17 12:00:00,25000.00,cancelada,efectivo,Xiomara Ramos Montoya,Tinte completo,El Vikingo
18,169,8,29,2024-09-24 15:00:00,16000.00,atendida,tarjeta,Esteban Correa Medina,Corte moderno,El Calvo Cuts
19,990,17,13,2024-11-15 10:00:00,20000.00,cancelada,transferencia,Diana Parra Bedoya,Limpieza facial,Camilo Pro
20,1497,7,8,2024-01-08 16:00:00,13000.00,atendida,tarjeta,Nathaly Londoño Ramos,Corte clasico,Tato Fade
21,1695,16,29,2023-04-13 11:00:00,8000.00,atendida,efectivo,Marcela Medina Flores,Depilacion de cejas,El Calvo Cuts
22,1218,14,23,2024-12-03 08:00:00,15000.00,atendida,tarjeta,Sergio Bedoya Delgado,Afeitado clasico navaja,Santi Premium
23,1291,10,17,2023-08-22 09:00:00,35000.00,atendida,efectivo,Natalia Mendoza Herrera,Corte + tinte,Kevin El Maestro
24,624,26,12,2024-12-17 08:00:00,50000.00,atendida,efectivo,Andrea Díaz Ocampo,Corte + lavado + barba,Duvan Fresh
25,1524,4,3,2024-08-31 14:00:00,18000.00,cancelada,nequi,Dayana Montoya Guerrero,Corte + lavado,Juancho El Indio
26,1089,16,14,2023-02-05 10:00:00,8000.00,cancelada,transferencia,Oscar Muñoz Medina,Depilacion de cejas,El Tigre Cuts
27,1664,6,31,2023-08-28 08:00:00,14000.00,atendida,efectivo,Nathaly Ramos Rojas,Corte navaja,Cristian Fade
28,1034,2,6,2024-11-12 14:00:00,15000.00,atendida,efectivo,Sara Ríos Pérez,Corte de cabello Basico + barba,Chelo Cuts
29,1552,20,7,2024-10-18 10:00:00,22000.00,atendida,efectivo,Carolina Castro Ortiz,Corte + barba + cejas,Pipe El Crack
30,1970,23,30,2024-01-27 08:00:00,30000.00,atendida,nequi,Cristian González Pérez,Tratamiento anticaida,Pipe Navajas
31,1398,27,7,2023-10-12 10:00:00,22000.00,cancelada,transferencia,Cristian Rodríguez Romero,Alisado,Pipe El Crack
32,1163,29,8,2024-04-14 10:00:00,50000.00,cancelada,efectivo,Patricia Ramos Parra,Mechas,Tato Fade
33,714,21,30,2023-09-22 16:00:00,25000.00,cancelada,nequi,Fabian Vargas Zapata,Corte + hidratacion,Pipe Navajas
34,1663,19,30,2024-10-14 12:00:00,60000.00,atendida,nequi,Esteban Reyes Londoño,Keratina,Pipe Navajas
35,1412,27,19,2023-08-06 11:00:00,22000.00,atendida,tarjeta,Miguel Castro Ospina,Alisado,Fercho Barber
36,1477,29,17,2024-01-13 08:00:00,50000.00,atendida,nequi,Steven Medina Jiménez,Mechas,Kevin El Maestro
37,872,19,8,2024-09-22 12:00:00,60000.00,atendida,tarjeta,Hernán Gómez Zapata,Keratina,Tato Fade
38,1678,20,17,2023-12-21 17:00:00,22000.00,atendida,transferencia,Brayan Silva Díaz,Corte + barba + cejas,Kevin El Maestro
39,120,17,20,2023-10-21 10:00:00,20000.00,cancelada,transferencia,Luis Rodríguez Reyes,Limpieza facial,El Paisa Cuts
40,817,5,18,2023-05-22 12:00:00,15000.00,atendida,tarjeta,Raúl Peña García,Corte degradado,Nico Estilo
41,992,29,11,2023-05-24 11:00:00,50000.00,atendida,efectivo,Sofia Bedoya Reyes,Mechas,El Mono Barber
42,832,21,17,2023-04-04 11:00:00,25000.00,atendida,nequi,Carolina Cárdenas Ruiz,Corte + hidratacion,Kevin El Maestro
43,602,28,30,2023-11-27 10:00:00,55000.00,cancelada,tarjeta,Daniela Ospina Londoño,Permanente,Pipe Navajas
44,1575,27,25,2023-11-26 08:00:00,22000.00,atendida,tarjeta,Carolina García Jiménez,Alisado,Lucho Precision
45,988,15,5,2023-10-18 11:00:00,14000.00,atendida,efectivo,Adriana López Sánchez,Cejas + barba,El Vikingo
46,728,4,24,2024-07-10 08:00:00,18000.00,atendida,tarjeta,Adriana Martínez Rivera,Corte + lavado,El Negro Barber
47,605,2,15,2023-09-07 11:00:00,15000.00,cancelada,nequi,Santiago Morales Herrera,Corte de cabello Basico + barba,Jhon Navajas
48,1737,27,7,2023-04-01 11:00:00,22000.00,atendida,efectivo,Oscar Henao Suárez,Alisado,Pipe El Crack
49,520,28,5,2023-05-13 09:00:00,55000.00,cancelada,tarjeta,Leidy Espinoza Rodríguez,Permanente,El Vikingo
50,1630,28,8,2023-06-18 17:00:00,55000.00,atendida,efectivo,Esteban García Cárdenas,Permanente,Tato Fade
51,1779,17,13,2023-02-04 08:00:00,20000.00,atendida,nequi,Xiomara Espinoza Moreno,Limpieza facial,Camilo Pro
52,1275,17,6,2023-03-08 17:00:00,20000.00,atendida,efectivo,Sara Salazar Silva,Limpieza facial,Chelo Cuts
53,941,29,31,2023-04-17 14:00:00,50000.00,atendida,daviplata,Rodrigo Flores Arias,Mechas,Cristian Fade
54,1129,18,20,2023-08-30 11:00:00,22000.00,atendida,tarjeta,Alejandro Gómez Vega,Hidratacion capilar,El Paisa Cuts
55,747,10,8,2024-09-22 16:00:00,35000.00,atendida,efectivo,Patricia Rivera Ramos,Corte + tinte,Tato Fade
56,1482,22,13,2023-02-11 15:00:00,15000.00,atendida,daviplata,Duvan Muñoz Ortiz,Masaje capilar,Camilo Pro
57,1288,13,22,2024-08-07 17:00:00,18000.00,atendida,nequi,Luis Suárez Arias,Barba + hidratacion,Diego Fadero
58,1730,19,24,2024-04-03 11:00:00,60000.00,atendida,nequi,Steven Cruz Silva,Keratina,El Negro Barber
59,502,10,14,2024-04-19 18:00:00,35000.00,atendida,tarjeta,Rodrigo Peña Henao,Corte + tinte,El Tigre Cuts
60,943,18,21,2023-12-31 14:00:00,22000.00,atendida,tarjeta,Lizeth Jiménez Cruz,Hidratacion capilar,Wilmar Style
61,1608,11,7,2024-12-18 08:00:00,25000.00,atendida,tarjeta,Cristian Ruiz Torres,Tinte completo,Pipe El Crack
62,260,28,8,2023-04-24 09:00:00,55000.00,atendida,efectivo,Marcela Martínez Zapata,Permanente,Tato Fade
63,1228,19,17,2023-12-14 08:00:00,60000.00,atendida,nequi,Ferney Cárdenas Londoño,Keratina,Kevin El Maestro
64,897,29,7,2024-10-25 12:00:00,50000.00,atendida,transferencia,Alejandro Suárez Sánchez,Mechas,Pipe El Crack
65,574,1,12,2023-05-17 17:00:00,12000.00,cancelada,transferencia,Fernando Díaz Rodríguez,Corte de cabello Basico,Duvan Fresh
66,626,7,22,2024-04-29 18:00:00,13000.00,atendida,efectivo,Maria Silva García,Corte clasico,Diego Fadero
67,1963,23,30,2024-10-29 14:00:00,30000.00,cancelada,nequi,Esteban Suárez Ríos,Tratamiento anticaida,Pipe Navajas
68,1168,3,8,2023-11-12 18:00:00,8000.00,cancelada,transferencia,Ferney Torres Silva,Arreglo de barba,Tato Fade
69,1064,25,2,2023-10-23 15:00:00,80000.00,cancelada,tarjeta,Leidy Ortiz García,Coloracion fantasia,Maicol Style
70,1078,4,22,2024-01-09 16:00:00,18000.00,atendida,nequi,Marcela Ramos Silva,Corte + lavado,Diego Fadero
71,253,27,13,2024-06-15 15:00:00,22000.00,atendida,nequi,Johana Castro Jiménez,Alisado,Camilo Pro
72,1205,22,10,2024-01-17 08:00:00,15000.00,atendida,nequi,Ferney Sánchez Arias,Masaje capilar,Yeferson King
73,775,21,20,2024-01-01 10:00:00,25000.00,cancelada,nequi,Maria Mendoza Ramírez,Corte + hidratacion,El Paisa Cuts
74,1029,19,3,2024-07-25 10:00:00,60000.00,cancelada,transferencia,Diego Muñoz Flores,Keratina,Juancho El Indio
75,1146,17,10,2023-05-14 11:00:00,20000.00,atendida,daviplata,Miguel Ruiz Muñoz,Limpieza facial,Yeferson King
76,188,15,29,2023-03-29 16:00:00,14000.00,atendida,transferencia,Nathaly Ríos Rivera,Cejas + barba,El Calvo Cuts
77,1560,30,2,2024-09-26 17:00:00,40000.00,cancelada,efectivo,Jorge Peña Correa,Decoloracion,Maicol Style
78,933,26,7,2023-08-29 17:00:00,50000.00,cancelada,tarjeta,Ricardo Medina Guerrero,Corte + lavado + barba,Pipe El Crack
79,564,24,3,2023-03-15 10:00:00,50000.00,atendida,efectivo,Fernando Ocampo Suárez,Pack novio completo,Juancho El Indio
80,1197,13,21,2024-06-30 15:00:00,18000.00,atendida,efectivo,Oscar Parra Martínez,Barba + hidratacion,Wilmar Style
81,426,27,4,2024-12-18 12:00:00,22000.00,atendida,efectivo,Deisy Espinoza Pérez,Alisado,Mateo Barber
82,796,6,10,2023-06-15 17:00:00,14000.00,atendida,transferencia,Rodrigo Jiménez Vargas,Corte navaja,Yeferson King
83,1526,9,18,2024-06-28 15:00:00,10000.00,atendida,nequi,Duvan López Bedoya,Corte infantil,Nico Estilo
84,1058,3,27,2024-12-25 15:00:00,8000.00,atendida,efectivo,Paola Cárdenas Medina,Arreglo de barba,Tomas Clipper
85,1469,11,5,2023-07-28 11:00:00,25000.00,cancelada,nequi,Xiomara Ruiz Cruz,Tinte completo,El Vikingo
86,1997,19,25,2023-04-28 14:00:00,60000.00,atendida,efectivo,Daniela Bedoya Rojas,Keratina,Lucho Precision
87,1797,23,19,2023-10-12 17:00:00,30000.00,atendida,transferencia,Leidy Torres Ramos,Tratamiento anticaida,Fercho Barber
88,891,19,29,2024-04-06 10:00:00,60000.00,atendida,nequi,Wilmar Reyes Ramírez,Keratina,El Calvo Cuts
89,1337,27,31,2024-05-16 08:00:00,22000.00,atendida,efectivo,Alejandro Romero Ríos,Alisado,Cristian Fade
90,1653,15,2,2023-02-07 18:00:00,14000.00,atendida,nequi,Raúl Herrera Flores,Cejas + barba,Maicol Style
91,263,1,12,2023-06-22 17:00:00,12000.00,atendida,tarjeta,Sara Parra Rojas,Corte de cabello Basico,Duvan Fresh
92,592,4,19,2024-07-29 10:00:00,18000.00,atendida,efectivo,Claudia López Gutiérrez,Corte + lavado,Fercho Barber
93,1709,19,21,2024-09-30 16:00:00,60000.00,cancelada,efectivo,Cristian Ortiz Martínez,Keratina,Wilmar Style
94,869,21,10,2024-05-27 12:00:00,25000.00,atendida,nequi,Catalina Castro Rojas,Corte + hidratacion,Yeferson King
95,1871,28,5,2023-09-25 14:00:00,55000.00,atendida,efectivo,Maria García Montoya,Permanente,El Vikingo
96,832,3,15,2023-09-07 12:00:00,8000.00,cancelada,nequi,Carolina Cárdenas Ruiz,Arreglo de barba,Jhon Navajas
97,1889,1,11,2023-09-02 17:00:00,12000.00,cancelada,daviplata,Andrés Romero Medina,Corte de cabello Basico,El Mono Barber
98,1836,24,7,2023-01-21 12:00:00,50000.00,atendida,tarjeta,Nicolás Suárez Arias,Pack novio completo,Pipe El Crack
99,1504,28,6,2024-09-02 10:00:00,55000.00,cancelada,tarjeta,Yeison Montoya López,Permanente,Chelo Cuts
100,323,27,17,2023-02-18 18:00:00,22000.00,atendida,transferencia,Diego Zapata Mendoza,Alisado,Kevin El Maestro
101,571,2,27,2024-01-17 09:00:00,15000.00,cancelada,nequi,Esteban Díaz Rivera,Corte de cabello Basico + barba,Tomas Clipper
102,969,16,28,2024-10-28 09:00:00,8000.00,atendida,efectivo,Natalia Gómez Zapata,Depilacion de cejas,Yeison Barber
103,545,17,14,2023-09-15 09:00:00,20000.00,atendida,tarjeta,Natalia Martínez Rojas,Limpieza facial,El Tigre Cuts
104,1376,12,19,2024-10-12 16:00:00,12000.00,atendida,nequi,Raúl Martínez Zapata,Barba completa,Fercho Barber
105,1748,26,26,2024-07-12 12:00:00,50000.00,atendida,efectivo,Cristian Arias Suárez,Corte + lavado + barba,Andres El Pro
106,1553,10,9,2024-01-06 16:00:00,35000.00,atendida,tarjeta,Patricia Delgado Ospina,Corte + tinte,Brayan Scissors
107,415,5,21,2023-12-20 12:00:00,15000.00,atendida,daviplata,Johana Peña Henao,Corte degradado,Wilmar Style
108,1604,6,24,2024-08-03 12:00:00,14000.00,cancelada,tarjeta,Jhon Rojas Vega,Corte navaja,El Negro Barber
109,1144,17,13,2024-01-11 14:00:00,20000.00,cancelada,transferencia,Isabella Peña Gómez,Limpieza facial,Camilo Pro
110,836,12,6,2024-09-13 16:00:00,12000.00,atendida,transferencia,Andrés Reyes García,Barba completa,Chelo Cuts
111,1657,20,29,2024-07-09 18:00:00,22000.00,atendida,daviplata,Catalina Parra Moreno,Corte + barba + cejas,El Calvo Cuts
112,646,7,30,2023-08-27 11:00:00,13000.00,atendida,nequi,Johana Rodríguez Correa,Corte clasico,Pipe Navajas
113,1609,26,4,2023-02-07 10:00:00,50000.00,atendida,transferencia,Miguel Londoño Ruiz,Corte + lavado + barba,Mateo Barber
114,775,18,4,2024-03-02 18:00:00,22000.00,atendida,daviplata,Maria Mendoza Ramírez,Hidratacion capilar,Mateo Barber
115,1744,26,21,2023-09-19 17:00:00,50000.00,atendida,nequi,Sara Medina Parra,Corte + lavado + barba,Wilmar Style
116,1376,5,24,2023-03-05 10:00:00,15000.00,atendida,nequi,Raúl Martínez Zapata,Corte degradado,El Negro Barber
117,480,27,10,2023-07-05 11:00:00,22000.00,atendida,tarjeta,Yesid Gutiérrez Vega,Alisado,Yeferson King
118,990,7,25,2023-11-30 17:00:00,13000.00,cancelada,daviplata,Diana Parra Bedoya,Corte clasico,Lucho Precision
119,1655,14,3,2024-01-10 14:00:00,15000.00,atendida,daviplata,Santiago Romero García,Afeitado clasico navaja,Juancho El Indio
120,1620,7,30,2023-02-28 09:00:00,13000.00,atendida,efectivo,Diego Mendoza García,Corte clasico,Pipe Navajas
121,740,13,11,2023-12-04 12:00:00,18000.00,atendida,transferencia,Angie Suárez Espinoza,Barba + hidratacion,El Mono Barber
122,1364,24,29,2024-01-12 17:00:00,50000.00,atendida,nequi,Marcela Ortiz Medina,Pack novio completo,El Calvo Cuts
123,987,2,11,2024-09-15 10:00:00,15000.00,cancelada,tarjeta,Xiomara Morales Jiménez,Corte de cabello Basico + barba,El Mono Barber
124,205,20,25,2024-09-03 15:00:00,22000.00,cancelada,nequi,Fabian Pérez Jiménez,Corte + barba + cejas,Lucho Precision
125,406,5,21,2023-10-17 08:00:00,15000.00,cancelada,efectivo,Monica Parra Ruiz,Corte degradado,Wilmar Style
126,403,12,11,2024-01-14 18:00:00,12000.00,atendida,daviplata,Steven Ocampo Guerrero,Barba completa,El Mono Barber
127,344,14,20,2024-10-03 18:00:00,15000.00,cancelada,efectivo,Natalia Ortiz Cárdenas,Afeitado clasico navaja,El Paisa Cuts
128,1157,17,6,2024-09-30 08:00:00,20000.00,atendida,daviplata,Sergio Muñoz Vargas,Limpieza facial,Chelo Cuts
129,740,26,17,2023-03-27 08:00:00,50000.00,atendida,transferencia,Angie Suárez Espinoza,Corte + lavado + barba,Kevin El Maestro
130,1262,19,26,2023-01-19 08:00:00,60000.00,atendida,tarjeta,Juan Pérez Pérez,Keratina,Andres El Pro
131,777,28,18,2024-08-01 11:00:00,55000.00,atendida,efectivo,Rodrigo Rodríguez Reyes,Permanente,Nico Estilo
132,1592,15,8,2024-07-04 08:00:00,14000.00,atendida,transferencia,Sofia Zapata Ramírez,Cejas + barba,Tato Fade
133,1870,16,29,2024-04-26 11:00:00,8000.00,cancelada,transferencia,Sebastián Gutiérrez Espinoza,Depilacion de cejas,El Calvo Cuts
134,1243,23,22,2023-09-20 17:00:00,30000.00,atendida,transferencia,Fernando Gutiérrez Martínez,Tratamiento anticaida,Diego Fadero
135,61,6,21,2024-01-29 09:00:00,14000.00,atendida,efectivo,Carolina Romero Rojas,Corte navaja,Wilmar Style
136,691,16,2,2023-05-19 11:00:00,8000.00,cancelada,nequi,Ana Romero Medina,Depilacion de cejas,Maicol Style
137,514,25,19,2024-12-19 16:00:00,80000.00,atendida,efectivo,Sebastián Flores Correa,Coloracion fantasia,Fercho Barber
138,1024,29,18,2024-07-25 12:00:00,50000.00,cancelada,transferencia,Leidy Silva García,Mechas,Nico Estilo
139,1537,8,26,2024-02-20 17:00:00,16000.00,atendida,tarjeta,Alejandro Suárez Bedoya,Corte moderno,Andres El Pro
140,829,17,10,2023-06-15 12:00:00,20000.00,atendida,daviplata,Alejandro López Cruz,Limpieza facial,Yeferson King
141,1359,24,15,2024-12-05 14:00:00,50000.00,atendida,daviplata,Claudia Parra Rodríguez,Pack novio completo,Jhon Navajas
142,1025,27,24,2023-01-10 12:00:00,22000.00,atendida,daviplata,Miguel Jiménez Rivera,Alisado,El Negro Barber
143,891,16,4,2024-04-20 12:00:00,8000.00,cancelada,tarjeta,Wilmar Reyes Ramírez,Depilacion de cejas,Mateo Barber
144,1977,22,23,2023-01-07 14:00:00,15000.00,cancelada,nequi,Nathaly Bedoya Sánchez,Masaje capilar,Santi Premium
145,1983,29,15,2023-11-13 15:00:00,50000.00,atendida,tarjeta,Lizeth Pérez Cruz,Mechas,Jhon Navajas
146,996,22,22,2024-12-29 16:00:00,15000.00,atendida,daviplata,David Arias Ramírez,Masaje capilar,Diego Fadero
147,1466,2,3,2023-01-09 11:00:00,15000.00,atendida,tarjeta,Cristian Cárdenas Rojas,Corte de cabello Basico + barba,Juancho El Indio
148,830,30,29,2024-11-27 10:00:00,40000.00,atendida,efectivo,Maria Montoya Rojas,Decoloracion,El Calvo Cuts
149,227,22,18,2023-09-20 12:00:00,15000.00,atendida,efectivo,Fabian Bedoya Montoya,Masaje capilar,Nico Estilo
150,135,1,12,2024-04-16 14:00:00,12000.00,cancelada,tarjeta,Sofia Cruz Peña,Corte de cabello Basico,Duvan Fresh
151,228,23,16,2023-04-19 16:00:00,30000.00,atendida,efectivo,Ricardo Correa Martínez,Tratamiento anticaida,Sebastián Blade
152,989,12,18,2024-06-24 11:00:00,12000.00,cancelada,daviplata,Kevin Muñoz Espinoza,Barba completa,Nico Estilo
153,249,22,7,2023-04-14 11:00:00,15000.00,atendida,tarjeta,Diego Herrera Martínez,Masaje capilar,Pipe El Crack
154,1165,13,24,2023-07-13 09:00:00,18000.00,atendida,transferencia,Deisy Ramos Suárez,Barba + hidratacion,El Negro Barber
155,1149,22,18,2023-01-02 17:00:00,15000.00,cancelada,daviplata,Mateo Peña Ocampo,Masaje capilar,Nico Estilo
156,1355,27,20,2024-03-20 15:00:00,22000.00,atendida,efectivo,Carolina Sánchez Ortiz,Alisado,El Paisa Cuts
157,468,14,30,2023-02-17 11:00:00,15000.00,atendida,nequi,Alejandro Gutiérrez Parra,Afeitado clasico navaja,Pipe Navajas
158,893,10,8,2024-12-22 12:00:00,35000.00,cancelada,tarjeta,Nathaly Sánchez Rodríguez,Corte + tinte,Tato Fade
159,109,15,26,2024-11-14 12:00:00,14000.00,atendida,nequi,Adriana Ortiz Vega,Cejas + barba,Andres El Pro
160,918,16,9,2023-05-09 09:00:00,8000.00,cancelada,efectivo,Miguel Parra Díaz,Depilacion de cejas,Brayan Scissors
161,1884,26,19,2023-12-21 11:00:00,50000.00,atendida,tarjeta,Samuel Delgado Ruiz,Corte + lavado + barba,Fercho Barber
162,1911,12,19,2023-01-08 09:00:00,12000.00,atendida,nequi,Yeison Díaz Gómez,Barba completa,Fercho Barber
163,1982,26,21,2023-08-25 18:00:00,50000.00,atendida,efectivo,Raúl Parra Ramírez,Corte + lavado + barba,Wilmar Style
164,653,20,21,2023-03-14 08:00:00,22000.00,cancelada,daviplata,Jorge Londoño Ríos,Corte + barba + cejas,Wilmar Style
165,82,22,5,2023-09-08 11:00:00,15000.00,cancelada,transferencia,Mauricio Silva Bedoya,Masaje capilar,El Vikingo
166,1195,25,25,2024-03-02 09:00:00,80000.00,atendida,transferencia,Felipe Medina Moreno,Coloracion fantasia,Lucho Precision
167,466,26,17,2024-11-26 11:00:00,50000.00,cancelada,daviplata,Luis Ruiz Ramírez,Corte + lavado + barba,Kevin El Maestro
168,1901,24,28,2024-08-06 12:00:00,50000.00,atendida,efectivo,Alejandro Silva Medina,Pack novio completo,Yeison Barber
169,136,18,29,2023-01-13 10:00:00,22000.00,cancelada,daviplata,Carlos Muñoz Medina,Hidratacion capilar,El Calvo Cuts
170,1870,16,11,2023-11-11 08:00:00,8000.00,atendida,efectivo,Sebastián Gutiérrez Espinoza,Depilacion de cejas,El Mono Barber
171,340,25,24,2023-05-21 17:00:00,80000.00,cancelada,nequi,Alejandro Ramos Montoya,Coloracion fantasia,El Negro Barber
172,230,17,11,2024-07-18 15:00:00,20000.00,cancelada,efectivo,Kevin Ríos Arias,Limpieza facial,El Mono Barber
173,491,17,17,2024-03-31 09:00:00,20000.00,atendida,tarjeta,Paula Silva Medina,Limpieza facial,Kevin El Maestro
174,1356,24,31,2024-03-24 15:00:00,50000.00,atendida,nequi,Esteban Londoño Londoño,Pack novio completo,Cristian Fade
175,878,6,11,2023-11-15 16:00:00,14000.00,cancelada,daviplata,Alejandro Vargas Reyes,Corte navaja,El Mono Barber
176,1889,30,14,2023-10-28 12:00:00,40000.00,cancelada,nequi,Andrés Romero Medina,Decoloracion,El Tigre Cuts
177,424,11,15,2024-03-29 18:00:00,25000.00,atendida,efectivo,Maria Rojas Ramírez,Tinte completo,Jhon Navajas
178,48,18,21,2023-01-30 17:00:00,22000.00,atendida,nequi,Diana García Cruz,Hidratacion capilar,Wilmar Style
179,1770,12,10,2023-09-24 15:00:00,12000.00,cancelada,efectivo,Luis Herrera Suárez,Barba completa,Yeferson King
180,1308,25,16,2024-04-06 16:00:00,80000.00,atendida,transferencia,Catalina Torres Ruiz,Coloracion fantasia,Sebastián Blade
181,925,20,7,2023-04-13 15:00:00,22000.00,atendida,nequi,Duvan Ramos Ramírez,Corte + barba + cejas,Pipe El Crack
182,307,12,11,2023-10-25 12:00:00,12000.00,atendida,nequi,Ricardo Mendoza Ortiz,Barba completa,El Mono Barber
183,122,28,2,2024-12-24 12:00:00,55000.00,cancelada,efectivo,Sofia García Montoya,Permanente,Maicol Style
184,1532,18,22,2024-04-19 11:00:00,22000.00,atendida,transferencia,Mariana Gutiérrez Rodríguez,Hidratacion capilar,Diego Fadero
185,1440,21,2,2024-04-29 09:00:00,25000.00,atendida,daviplata,Diego Zapata Salazar,Corte + hidratacion,Maicol Style
186,1214,23,16,2023-11-07 14:00:00,30000.00,cancelada,nequi,Raúl Ríos Sánchez,Tratamiento anticaida,Sebastián Blade
187,1588,26,14,2024-03-02 12:00:00,50000.00,atendida,tarjeta,Kevin Ramírez García,Corte + lavado + barba,El Tigre Cuts
188,2007,9,27,2023-07-18 14:00:00,10000.00,cancelada,tarjeta,Ferney Díaz Correa,Corte infantil,Tomas Clipper
189,1579,8,15,2024-01-18 08:00:00,16000.00,atendida,transferencia,Diana Castro Díaz,Corte moderno,Jhon Navajas
190,1145,12,15,2023-08-01 09:00:00,12000.00,atendida,transferencia,Mariana Ruiz Ocampo,Barba completa,Jhon Navajas
191,758,11,24,2023-02-27 11:00:00,25000.00,atendida,tarjeta,Diana Parra Correa,Tinte completo,El Negro Barber
192,1228,7,23,2023-04-01 10:00:00,13000.00,cancelada,transferencia,Ferney Cárdenas Londoño,Corte clasico,Santi Premium
193,1458,13,17,2023-11-02 18:00:00,18000.00,atendida,tarjeta,Sebastián Morales Díaz,Barba + hidratacion,Kevin El Maestro
194,434,26,12,2024-09-16 08:00:00,50000.00,cancelada,daviplata,Lizeth Montoya Ocampo,Corte + lavado + barba,Duvan Fresh
195,1190,8,3,2024-03-03 18:00:00,16000.00,atendida,efectivo,Johana Mendoza Reyes,Corte moderno,Juancho El Indio
196,1008,10,13,2024-05-26 18:00:00,35000.00,atendida,daviplata,Catalina Montoya Herrera,Corte + tinte,Camilo Pro
197,196,24,27,2024-11-16 10:00:00,50000.00,cancelada,transferencia,Samuel Ruiz Zapata,Pack novio completo,Tomas Clipper
198,904,8,8,2023-09-04 09:00:00,16000.00,atendida,efectivo,Carolina Díaz Cruz,Corte moderno,Tato Fade
199,318,13,11,2023-12-25 16:00:00,18000.00,atendida,daviplata,Adriana Bedoya Ruiz,Barba + hidratacion,El Mono Barber
200,1689,5,9,2023-03-03 15:00:00,15000.00,atendida,transferencia,Yulieth Herrera Cárdenas,Corte degradado,Brayan Scissors
201,1861,26,20,2023-06-30 12:00:00,50000.00,atendida,tarjeta,Fernando Rojas Parra,Corte + lavado + barba,El Paisa Cuts
202,280,22,26,2024-11-28 17:00:00,15000.00,atendida,efectivo,Cristian Suárez Suárez,Masaje capilar,Andres El Pro
203,1220,29,6,2023-05-18 16:00:00,50000.00,atendida,transferencia,Ricardo Gómez Arias,Mechas,Chelo Cuts
204,438,1,25,2024-09-21 16:00:00,12000.00,atendida,tarjeta,Ferney Rodríguez González,Corte de cabello Basico,Lucho Precision
205,1215,8,11,2023-10-23 09:00:00,16000.00,cancelada,daviplata,Adriana Moreno Ramos,Corte moderno,El Mono Barber
206,307,5,10,2023-03-03 17:00:00,15000.00,cancelada,transferencia,Ricardo Mendoza Ortiz,Corte degradado,Yeferson King
207,1483,16,26,2023-08-31 09:00:00,8000.00,atendida,tarjeta,Deisy Ocampo Castro,Depilacion de cejas,Andres El Pro
208,441,13,16,2024-03-09 11:00:00,18000.00,cancelada,daviplata,Samuel Sánchez Flores,Barba + hidratacion,Sebastián Blade
209,1835,11,31,2023-05-28 11:00:00,25000.00,cancelada,tarjeta,Patricia Zapata Moreno,Tinte completo,Cristian Fade
210,1785,5,24,2024-07-07 10:00:00,15000.00,cancelada,daviplata,Raúl Cárdenas Cruz,Corte degradado,El Negro Barber
211,498,28,27,2024-12-14 11:00:00,55000.00,atendida,daviplata,Monica Cárdenas Díaz,Permanente,Tomas Clipper
